entity_id,legal_name,dba_name,city,state,zip,phone,email,website,shop_size_class,employee_est,aircraft_worked_on,profile_archetype,mro_software_detected,is_enterprise,contact_name,years_in_business,notes
IEDR824K,E D N AVIATION INC,EDN Aviation,Van Nuys,CA,91406,8189888826,nbostanian@velocityaerospace.com,https://www.precisionaviationgroup.com/our-companies/edn-aviation/,small,10-20,"commercial, corporate, military (cockpit panels)",component-specialist,unknown,yes,N. Bostanian,unknown,"PAG (Precision Aviation Group) subsidiary; cockpit panel manufacturing and refurbishment; 17000 sq ft facility; FAA + EASA Part 145 certified; SKIP - enterprise"
FUSR966D,FUSE AVIATION LLC,Fuse Aviation,Van Nuys,CA,91406,3104564754,alfredo.campos@fuseaviation.com,https://www.fuseaviation.com/,micro,2-5,general aviation instruments,avionics,unknown,no,Alfredo Campos,unknown,"Pitot/static systems testing (14 CFR 91.411/91.413); propeller dynamic balancing; transponder testing; engine vibration spectrum analysis; on-site mobile service; FAA limited instrument repair station; KVNY"
VTMR569K,OCR AVIATION,,Long Beach,CA,90806,5624265331,bobby@ocraviation.com,https://www.ocraviation.com/,small,10-20,"general aviation trainers to business jets",fbo-mro,EBIS,no,Bobby,30+,"CONFIRMED EBIS customer; FBO + Part 145 MRO at Long Beach Airport (KLGB); 30+ years; aircraft sales, management, maintenance, prebuy inspections, detailing, training; pilot-led operation"
OOCR964K,CORPORATE AIR PARTS INC,CAPS Aviation,Van Nuys,CA,91406,8189970512,tteutsch@capsaviation.com,https://capsaviation.com/,small,10-20,"business/corporate aircraft",component-specialist,unknown,no,T. Teutsch,43,"Founded 1983 by Neil Looy; cabin safety training and equipment; OEM/aftermarket business aircraft parts; tool calibration services; international logistics; internationally recognized specialist"
H0CR401I,HELINET AVIATION SERVICES LLC,Helinet,Van Nuys,CA,91406,8187803401,jpage@helinet.com,https://helinet.com/,medium,70,helicopters,helicopter-mro,unknown,no,J. Page,39,"Established 1987; diversified helicopter services - charter, air medical, ENG, UAS, utility, aerial production; 70 staff; KVNY; one of top LA helicopter operators"
5ZSR310D,ZEPHYR SERVICES LLC,Zephyr Services,Long Beach,CA,90806,5624248477,guyjeff@zephyrservices.net,http://aeroxec.com,small,5-10,general aviation,general-mro,unknown,no,Guy Jeff,unknown,"Located at Long Beach Airport (KLGB); aircraft maintenance; associated with Aeroxec/SC Fuels on-airport; limited web presence"
GS3R538L,HERBER AIRCRAFT SERVICE INC,Herber Aircraft Service,El Segundo,CA,90245,3103229575,sstegmaier@herberaircraft.com,https://www.herberaircraft.com/,small,10-20,"commercial and military aircraft (wire harness/hose)",component-specialist,unknown,no,S. Stegmaier,40+,"Wire harness + hose manufacturing and repair; Eaton Aeroquip distributor; Lord/Parker/Flexfab/Thermoid parts; near LAX; 24/7 AOG support; AS9100 compliant; 40+ years"
1L5R474D,LEGACY AIRCRAFT SERVICES INC,Legacy Aircraft Services,Van Nuys,CA,91406,8054335456,toddlevine73@gmail.com,https://legacyaircraftservices.com/,small,10-20,"various aircraft (wire harness/cable)",component-specialist,unknown,no,Todd Levine,unknown,"Custom cable and wire harness manufacturing; ISO 9001 quality management; KVNY-based; Mon-Fri 7am-3:30pm; contact via personal Gmail suggests small family/owner-operated business"
4ENR792C,EXTRAORD-N-AIR INC,Extraord-N-Air,Van Nuys,CA,91406,8187852577,todd@extraord-n-air.com,https://www.extraordnair.com/,small,5-15,"business jets / VIP aircraft",interior-specialist,unknown,no,Todd,unknown,"Luxury jet interior design and repair; cabin reconfigurations; ISO 9001:2015 certified; 1-year warranty on interior work; 2-year on re-veneered wood; Van Nuys based; top-level jet interior competitor"
T6GR183N,TRUESPEED AERO GOVERNORS INC,TrueSpeed Aero Governors,Van Nuys,CA,91406,8189978429,propgovernors@gmail.com,,micro,2-5,"piston and turboprop aircraft (governors)",component-specialist,unknown,no,unknown,25+,"Prop governor overhaul, testing, repair specialist; FAA certified; 25+ years experience; disassemble/inspect/shim/reassemble/test; 7900 Balboa Blvd or 16644 Roscoe Blvd KVNY; no website found; Gmail contact suggests micro shop"
XI3R972L,IPECO INC,Ipeco,Torrance,CA,90501,3107834700,rmorales@ipecoinc.com,https://ipeco.com/,medium,51-200,"Boeing (all platforms), Airbus, Gulfstream, Lockheed C-17/C-5B/C-130, HondaJet, ATR",component-specialist,unknown,yes,R. Morales,unknown,"Division of Ipeco Holdings Ltd (UK parent); world leader in aircraft crew seating; executive/passenger seats; galley inserts; 2275 Jefferson St Torrance; SKIP - enterprise subsidiary"
7UZR101D,SEAT AIR SYSTEMS INC,Seat Air Systems,Van Nuys,CA,91406,8184659844,pierre@seatairsystems.com,https://www.seatairsystems.com/,small,5-15,"Gulfstream, Falcon, Global Express, Boeing, VIP helicopters",interior-specialist,unknown,no,Pierre,27+,"FAA + PMA certified seat/interior refurbishment; soft goods specialist; 27+ years; hundreds of aircraft refurbished including dozen corporate helicopters; 7701 Woodley Ave KVNY"
UQRR958L,SOCAL JETS INC,SoCal Jets,Van Nuys,CA,91406,8187826658,dale@socaljets.aero,https://www.socaljets.aero/,small,10-20,"corporate jets (airframe + avionics)",general-mro,unknown,no,Dale,42,"Aircraft maintenance + avionics installations since 1984; KVNY 7035 Sophia Ave; serves US and Mexico; 24/7 service; 36+ years; well-established"
1JTR688B,JET TECH LTD,Jet Tech,Van Nuys,CA,91406,8187790251,bob@jettechltd.com,https://jettechltd.com/,small,5-15,"various aircraft (line and heavy maintenance)",general-mro,unknown,no,Bob,unknown,"FAA repair station; mobile aircraft maintenance western US; line maintenance + heavy checks + engine AOG; KVNY Hangar 1 16233 Vanowen St; maintenance tracking program mentioned in ZoomInfo"
RB1R197K,VELOCITY AEROSPACE - BURBANK INC,Velocity Aerospace,Burbank,CA,91504,8183335600,bsperber@velocityaerospace.com,https://www.precisionaviationgroup.com/our-companies/velocity-aerospace/,medium,50-100,"commercial and corporate aircraft (avionics components)",avionics,unknown,yes,B. Sperber,unknown,"PAG (Precision Aviation Group) subsidiary acquired 2023; avionics repair/exchange + parts distribution; 2840 N Ontario St Burbank; also operates KVNY Van Nuys station; SKIP - enterprise"
E0IR152X,EON INSTRUMENTATION INC,Eon Instrumentation,Van Nuys,CA,91406,8187812185,jate@eoninstrumention.com,https://eoninstrumentation.com/,small,10-20,"military aircraft, naval vessels, ground vehicles",avionics,unknown,no,J. Ate,unknown,"Veteran-owned; designs/manufactures military qualified flight instruments and guidance systems; airborne/shipborne/ground vehicle platforms; engineering + manufacturing + support; 16333 Raymer St Van Nuys"
DN3R455L,PLASMA TECHNOLOGY INC,PTI / Plasma Technology,Torrance,CA,90501,3103203373,d.hernandez@ptise.com,http://www.ptise.com/,medium,51-200,"aircraft engines and airframes (thermal spray coatings)",component-specialist,unknown,no,D. Hernandez,57,"Established 1969; HVOF, plasma, flame spray, wire spray coatings; NADCAP accredited; serves GE + P&W aircraft engines; two facilities: Torrance CA + South Windsor CT; 1754 Crenshaw Blvd Torrance"
5C52781B,CSAFE LLC,CSafe Global,Gardena,CA,90248,9372456429,kmehta@csafeglobal.com,https://csafeglobal.com/,medium,100+,"cargo aircraft (temperature-controlled ULD containers)",component-specialist,unknown,yes,K. Mehta,unknown,"CSafe Global enterprise; active temperature-controlled air cargo containers (RAP/RKN ULDs) for pharma cold chain; FAA certified + EASA approved; global operations with Gardena CA facility; SKIP - enterprise"
X7BR719N,ABRASIVE FINISHING COMPANY,AFCO,Gardena,CA,90248,3103237175,edward@afco.la,http://www.afco.la/,small,10-20,"various aircraft components (surface finishing/shot peening)",component-specialist,unknown,no,Edward,66,"Founded 1960; shot peening + glass bead + ceramic + aluminum oxide blasting; aviation and auto manufacturing clients; 14920 S Main St Gardena; strong word-of-mouth reputation"
3NTR679B,NEW TECH AIRCRAFT SERVICES INC,NTAS Maintenance & Engineering,Hawthorne,CA,90250,3104200966,jruiz@ntas.co,https://ntas.co/,small,10-20,various aircraft,general-mro,unknown,no,J. Ruiz,16,"FAA Part 145 repair station since 2010; safety/quality/efficiency focus; Hawthorne near HHR airport; member of LAX Coastal Chamber; reliable maintenance solutions"
